epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.45069,2.84666,7.54127,0.02078,0.42583,0,0,0,0,2.36757,4.67353,0.01769,0.10357,0.00027151,0.00027151,0.00027151
2,13.1313,2.80427,6.11273,0.01975,0.41241,0,0,0,0,2.36409,4.68468,0.01791,0.11769,0.000546275,0.000546275,0.000546275
3,22.9224,2.74979,6.03259,0.01916,0.44539,0,0,0,0,2.35539,4.70653,0.01833,0.13643,0.000809723,0.000809723,0.000809723
4,31.5291,2.71904,5.62375,0.01964,0.39963,0,0,0,0,2.34894,4.7525,0.01847,0.13586,0.00106185,0.00106185,0.00106185
5,34.3046,2.71916,5.21575,0.02022,0.42291,0,0,0,0,2.34253,4.39957,0.01904,0.12239,0.00130266,0.00130266,0.00130266
6,37.0215,2.67816,4.96037,0.01868,0.41798,0,0,0,0,2.41251,4.53136,0.02005,0.19773,0.00128753,0.00128753,0.00128753
7,40.051,2.62283,4.91296,0.01877,0.41521,0.0146,0.08698,0.00857,0.00229,2.38901,3.60353,0.02433,0.31305,0.00125923,0.00125923,0.00125923
8,42.9345,2.57683,4.70423,0.02084,0.37597,0.01779,0.12875,0.0114,0.0026,2.29773,3.58223,0.02239,0.29972,0.00123094,0.00123094,0.00123094
9,46.2411,2.52935,4.26791,0.01991,0.35469,0.02428,0.20983,0.02338,0.00575,2.37173,3.29991,0.02279,0.33171,0.00120265,0.00120265,0.00120265
10,49.1869,2.55428,3.93494,0.0189,0.34827,0.06083,0.09214,0.03564,0.00823,2.446,3.3607,0.02264,0.35584,0.00117435,0.00117435,0.00117435
11,52.1195,2.46113,3.75393,0.02083,0.33759,0.04584,0.08993,0.02798,0.0076,2.30918,3.39131,0.02167,0.29128,0.00114606,0.00114606,0.00114606
12,55.0621,2.44261,3.68578,0.02128,0.31699,0.03297,0.18059,0.02424,0.00559,2.2512,3.45276,0.0206,0.27998,0.00111776,0.00111776,0.00111776
13,57.8716,2.45238,3.51272,0.02113,0.32516,0.06058,0.13464,0.04336,0.01158,2.25319,3.00169,0.02357,0.25944,0.00108947,0.00108947,0.00108947
14,60.7436,2.39557,3.30104,0.01903,0.30553,0.05102,0.23587,0.05118,0.01269,2.28682,3.03168,0.02299,0.29455,0.00106118,0.00106118,0.00106118
15,63.6243,2.37595,3.30963,0.01965,0.29518,0.08124,0.09926,0.05077,0.01528,2.16438,2.83376,0.02152,0.26841,0.00103288,0.00103288,0.00103288
16,66.4625,2.38607,3.16244,0.02157,0.29186,0.10087,0.12776,0.06853,0.01853,2.23124,2.7635,0.02376,0.32269,0.00100459,0.00100459,0.00100459
17,69.4075,2.36419,3.05317,0.02176,0.29233,0.09933,0.11474,0.06782,0.02257,2.1768,2.68445,0.02415,0.28148,0.000976293,0.000976293,0.000976293
18,72.2943,2.34766,3.05158,0.01991,0.28046,0.06506,0.20835,0.06768,0.01955,2.15753,2.82271,0.0215,0.23118,0.000947999,0.000947999,0.000947999
19,75.1379,2.27203,2.92839,0.01967,0.27588,0.09175,0.14029,0.06789,0.02006,2.18075,2.87837,0.02274,0.23737,0.000919704,0.000919704,0.000919704
20,78.3117,2.2508,2.85058,0.02199,0.26094,0.0955,0.13842,0.0717,0.02398,2.13557,2.64076,0.02389,0.2556,0.00089141,0.00089141,0.00089141
21,81.7469,2.23404,2.86864,0.02001,0.25793,0.09014,0.16486,0.07695,0.02685,2.191,3.19579,0.02215,0.24158,0.000863116,0.000863116,0.000863116
22,84.6338,2.18756,2.68641,0.02035,0.25317,0.12252,0.1312,0.08663,0.02459,2.15261,2.66773,0.02257,0.20524,0.000834822,0.000834822,0.000834822
23,87.4496,2.1662,2.79968,0.02156,0.23803,0.13465,0.10909,0.09096,0.03192,2.1598,2.79479,0.02394,0.2893,0.000806528,0.000806528,0.000806528
24,90.3291,2.20237,2.64748,0.01947,0.26911,0.14271,0.11106,0.09586,0.02996,2.2051,2.77763,0.02251,0.24141,0.000778233,0.000778233,0.000778233
25,93.2005,2.17508,2.63998,0.02079,0.24956,0.64674,0.14152,0.10215,0.03447,2.17037,2.69932,0.02231,0.21814,0.000749939,0.000749939,0.000749939
26,96.2228,2.10552,2.55544,0.02023,0.23151,0.63644,0.13145,0.1026,0.03387,2.19569,2.64237,0.02253,0.20775,0.000721645,0.000721645,0.000721645
27,99.0275,2.09724,2.55061,0.01988,0.22107,0.64576,0.13956,0.11564,0.04717,2.00638,2.52784,0.0214,0.17052,0.000693351,0.000693351,0.000693351
28,101.937,2.11497,2.49529,0.02156,0.20962,0.65866,0.15676,0.12818,0.04387,2.21998,2.50983,0.0224,0.19373,0.000665057,0.000665057,0.000665057
29,104.774,2.14571,2.49652,0.02114,0.22798,0.66237,0.15597,0.12177,0.03596,2.31123,2.61111,0.02332,0.20913,0.000636762,0.000636762,0.000636762
30,107.695,2.079,2.48594,0.02211,0.21817,0.6803,0.1649,0.14234,0.04585,2.13418,2.51041,0.02182,0.20422,0.000608468,0.000608468,0.000608468
31,110.572,2.01128,2.42916,0.02049,0.19204,0.65167,0.15627,0.11881,0.04041,2.1948,2.6211,0.02168,0.17232,0.000580174,0.000580174,0.000580174
32,113.568,2.02311,2.36788,0.01969,0.20911,0.69798,0.17248,0.1552,0.05372,2.20267,2.46025,0.02175,0.18216,0.00055188,0.00055188,0.00055188
