epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0198,2.26615,6.04658,0.02248,0.13437,0.15239,0.10193,0.11856,0.07195,1.91654,3.50739,0.02133,0.08014,0.00027151,0.00027151,0.00027151
2,15.3313,1.64171,4.28624,0.0221,0.09273,0.27108,0.0801,0.14652,0.08714,1.59918,2.96356,0.02368,0.08602,0.000553632,0.000553632,0.000553632
3,27.1605,1.41852,3.67583,0.02172,0.07898,0.2351,0.14349,0.1563,0.10106,1.43385,2.68254,0.02303,0.04486,0.000831981,0.000831981,0.000831981
4,30.1405,1.29507,3.08662,0.02209,0.06721,0.71992,0.15356,0.17668,0.11466,1.36881,2.51307,0.02127,0.04852,0.00110656,0.00110656,0.00110656
5,33.0526,1.29088,2.65079,0.01843,0.06324,0.68048,0.20811,0.16081,0.09957,1.38215,2.23201,0.02114,0.05855,0.00137736,0.00137736,0.00137736
6,36.0297,1.22311,2.30492,0.01804,0.05731,0.72161,0.26511,0.21645,0.12415,1.51039,1.82692,0.02022,0.04494,0.00138184,0.00138184,0.00138184
7,39.0686,1.26836,2.22693,0.01924,0.05719,0.70684,0.23857,0.19738,0.11367,1.47831,1.79076,0.02027,0.06469,0.00137241,0.00137241,0.00137241
8,42.5993,1.365,2.10422,0.02111,0.07247,0.74228,0.23636,0.22169,0.12096,1.67832,1.82568,0.02121,0.04483,0.00136298,0.00136298,0.00136298
9,45.6253,1.21926,1.81027,0.01908,0.05819,0.79425,0.28378,0.28959,0.17872,1.45928,1.51967,0.02026,0.04316,0.00135355,0.00135355,0.00135355
10,48.784,1.15257,1.50434,0.01779,0.04662,0.79706,0.28771,0.29096,0.19977,1.30832,1.49628,0.02045,0.05572,0.00134412,0.00134412,0.00134412
11,51.5961,1.1433,1.42452,0.01959,0.05234,0.80808,0.27666,0.29547,0.21434,1.21761,1.47783,0.02036,0.03863,0.00133469,0.00133469,0.00133469
12,54.5687,1.10833,1.40223,0.02049,0.05156,0.83768,0.27297,0.31746,0.24158,1.15914,1.48952,0.02037,0.05446,0.00132525,0.00132525,0.00132525
13,57.4659,1.09399,1.29946,0.02029,0.04236,0.77874,0.28428,0.28334,0.18414,1.39151,1.48451,0.02071,0.04046,0.00131582,0.00131582,0.00131582
14,60.3312,1.10618,1.17966,0.01802,0.05158,0.81791,0.28084,0.30545,0.20818,1.34343,1.45135,0.02085,0.06288,0.00130639,0.00130639,0.00130639
15,63.2028,1.06579,1.2065,0.01935,0.04886,0.83163,0.26732,0.30052,0.20056,1.32009,1.58154,0.01962,0.05879,0.00129696,0.00129696,0.00129696
16,66.0158,1.05038,1.12225,0.01908,0.04667,0.88329,0.29693,0.34357,0.25739,1.16445,1.31131,0.0205,0.05257,0.00128753,0.00128753,0.00128753
17,69.066,1.04733,1.05469,0.01992,0.04019,0.85725,0.27936,0.32169,0.23209,1.21759,1.47635,0.01987,0.05282,0.0012781,0.0012781,0.0012781
18,72.0314,1.05797,1.05486,0.01801,0.04692,0.2999,0.34712,0.33711,0.21428,1.41145,1.49133,0.02024,0.04608,0.00126867,0.00126867,0.00126867
19,74.856,1.01504,0.97168,0.01939,0.04057,0.28859,0.25925,0.27034,0.15998,1.45587,1.69214,0.01981,0.04975,0.00125923,0.00125923,0.00125923
20,77.6265,1.01585,0.96628,0.02092,0.04706,0.28963,0.25577,0.27219,0.15235,1.69299,1.7522,0.02092,0.05455,0.0012498,0.0012498,0.0012498
21,80.4301,1.05711,0.98001,0.01882,0.04642,0.34383,0.29115,0.33834,0.24204,1.21271,1.40388,0.02026,0.03293,0.00124037,0.00124037,0.00124037
22,83.9073,0.99882,0.87436,0.01747,0.03788,0.29976,0.27961,0.28848,0.18495,1.47921,1.6263,0.0215,0.03486,0.00123094,0.00123094,0.00123094
23,86.7714,1.02969,0.9686,0.01756,0.04283,0.43586,0.33903,0.35603,0.25418,1.18904,1.39379,0.02045,0.03626,0.00122151,0.00122151,0.00122151
24,89.648,1.00736,0.93073,0.01804,0.0411,0.40677,0.38214,0.39017,0.29424,1.06294,1.245,0.02064,0.02707,0.00121208,0.00121208,0.00121208
25,92.5411,1.01904,0.87523,0.01875,0.04184,0.32624,0.38907,0.35683,0.2536,1.1727,1.32218,0.02087,0.03212,0.00120265,0.00120265,0.00120265
26,95.5012,0.96146,0.88662,0.01806,0.03859,0.31237,0.27101,0.30301,0.20206,1.31534,1.56247,0.02048,0.03912,0.00119322,0.00119322,0.00119322
27,98.3366,1.00127,0.85866,0.01672,0.04148,0.34889,0.30369,0.33568,0.24689,1.15597,1.41543,0.02001,0.03817,0.00118378,0.00118378,0.00118378
28,101.211,1.00428,0.84399,0.01916,0.04677,0.82923,0.29275,0.32045,0.2239,1.33314,1.47324,0.02086,0.04121,0.00117435,0.00117435,0.00117435
29,104.036,1.02562,0.86106,0.0179,0.04339,0.33785,0.3222,0.32805,0.23331,1.26995,1.51094,0.02044,0.03841,0.00116492,0.00116492,0.00116492
30,106.974,0.95443,0.80097,0.01975,0.04076,0.35798,0.33219,0.36681,0.26485,1.25338,1.21432,0.02117,0.04691,0.00115549,0.00115549,0.00115549
31,109.866,0.98777,0.78417,0.01829,0.04346,0.34582,0.29828,0.33348,0.21858,1.42887,1.39249,0.02088,0.05363,0.00114606,0.00114606,0.00114606
32,112.678,0.91991,0.70485,0.01801,0.03888,0.36939,0.30576,0.35571,0.26048,1.25974,1.37283,0.02045,0.04634,0.00113663,0.00113663,0.00113663
33,115.601,0.89836,0.72322,0.0179,0.03572,0.3629,0.31474,0.35939,0.26751,1.15713,1.43273,0.02049,0.0428,0.0011272,0.0011272,0.0011272
34,119.061,0.94277,0.73675,0.01767,0.0414,0.34687,0.3139,0.34108,0.24873,1.18292,1.42842,0.02058,0.03486,0.00111776,0.00111776,0.00111776
35,121.885,0.91339,0.752,0.01861,0.0387,0.3383,0.2673,0.30594,0.19472,1.4388,1.6955,0.02083,0.03576,0.00110833,0.00110833,0.00110833
36,124.769,0.97781,0.76076,0.01791,0.04364,0.33425,0.27027,0.31173,0.21464,1.28737,1.57663,0.02065,0.044,0.0010989,0.0010989,0.0010989
37,127.572,0.91602,0.69741,0.01728,0.03775,0.36374,0.31613,0.35667,0.25672,1.22083,1.28893,0.0207,0.04087,0.00108947,0.00108947,0.00108947
38,130.493,0.93774,0.72454,0.01631,0.03533,0.32459,0.29066,0.30851,0.1958,1.41165,1.63547,0.02069,0.0255,0.00108004,0.00108004,0.00108004
39,133.338,0.92677,0.66754,0.01767,0.03713,0.35736,0.31548,0.34175,0.24015,1.28202,1.40134,0.02071,0.02222,0.00107061,0.00107061,0.00107061
40,136.242,0.92121,0.72747,0.01823,0.03844,0.36795,0.3258,0.358,0.26287,1.19272,1.32434,0.02047,0.03665,0.00106118,0.00106118,0.00106118
41,139.163,0.97004,0.76299,0.01707,0.03635,0.30778,0.27076,0.28572,0.16612,1.59016,1.83092,0.02137,0.03748,0.00105174,0.00105174,0.00105174
42,142.059,0.86607,0.65869,0.01795,0.03443,0.35984,0.31425,0.34865,0.2355,1.34863,1.45445,0.02089,0.04602,0.00104231,0.00104231,0.00104231
43,144.885,0.92903,0.69824,0.01793,0.04019,0.32902,0.32283,0.33825,0.25616,1.13787,1.44483,0.0205,0.04547,0.00103288,0.00103288,0.00103288
44,147.698,0.92347,0.66069,0.01842,0.03492,0.33103,0.29845,0.32159,0.19068,1.51717,1.57994,0.02166,0.03295,0.00102345,0.00102345,0.00102345
45,150.607,0.90041,0.63418,0.01834,0.03447,0.3779,0.32016,0.3628,0.27569,1.13593,1.40614,0.02011,0.03735,0.00101402,0.00101402,0.00101402
46,153.675,0.83831,0.63452,0.01787,0.02958,0.34079,0.26087,0.30746,0.22171,1.28854,1.75154,0.0208,0.03471,0.00100459,0.00100459,0.00100459
47,156.6,0.87161,0.66069,0.01604,0.0332,0.36929,0.2971,0.34227,0.23697,1.39664,1.50679,0.02079,0.0293,0.000995156,0.000995156,0.000995156
48,159.409,0.90703,0.67504,0.01728,0.03634,0.38353,0.30369,0.35593,0.25811,1.28494,1.49389,0.02082,0.03293,0.000985724,0.000985724,0.000985724
49,162.236,0.8587,0.60668,0.01607,0.03016,0.4081,0.3145,0.36479,0.25853,1.30384,1.34388,0.0217,0.03383,0.000976293,0.000976293,0.000976293
50,165.038,0.86777,0.66471,0.01717,0.03225,0.37513,0.32625,0.36153,0.25312,1.31011,1.36424,0.02086,0.03394,0.000966861,0.000966861,0.000966861
51,167.816,0.85452,0.61898,0.01907,0.03438,0.39515,0.32596,0.37063,0.26107,1.26082,1.31257,0.02088,0.0344,0.00095743,0.00095743,0.00095743
52,170.701,0.84906,0.63688,0.01688,0.03269,0.39157,0.32207,0.36705,0.28377,1.14898,1.33605,0.02111,0.04042,0.000947999,0.000947999,0.000947999
53,173.488,0.86856,0.64822,0.01588,0.03466,0.39962,0.31646,0.36764,0.25126,1.36313,1.35778,0.02149,0.02857,0.000938567,0.000938567,0.000938567
54,176.324,0.87878,0.60978,0.01838,0.03628,0.37741,0.31996,0.36605,0.28363,1.12131,1.37475,0.02059,0.03128,0.000929136,0.000929136,0.000929136
55,179.121,0.86155,0.62028,0.0173,0.02664,0.36719,0.29975,0.34889,0.24004,1.34998,1.48755,0.02078,0.04981,0.000919704,0.000919704,0.000919704
56,182.055,0.8976,0.64382,0.01853,0.03674,0.35324,0.30516,0.34493,0.23788,1.33397,1.55802,0.0205,0.0517,0.000910273,0.000910273,0.000910273
57,184.891,0.85626,0.59138,0.01619,0.03603,0.31345,0.29459,0.31767,0.22137,1.29342,1.64345,0.02019,0.03691,0.000900842,0.000900842,0.000900842
58,187.994,0.82107,0.57405,0.01637,0.03522,0.33245,0.30123,0.33008,0.23094,1.29416,1.65609,0.02081,0.04251,0.00089141,0.00089141,0.00089141
59,190.829,0.85255,0.59843,0.01748,0.03497,0.34857,0.31376,0.34633,0.23847,1.36192,1.48453,0.02143,0.04191,0.000881979,0.000881979,0.000881979
60,193.732,0.82596,0.59425,0.01755,0.03174,0.34626,0.30393,0.33727,0.23349,1.36576,1.56679,0.02129,0.04806,0.000872547,0.000872547,0.000872547
61,196.57,0.79074,0.5776,0.0161,0.02471,0.35059,0.30393,0.33358,0.22053,1.40691,1.59546,0.02149,0.03572,0.000863116,0.000863116,0.000863116
62,199.433,0.84308,0.60593,0.01743,0.03041,0.37766,0.32614,0.36418,0.26392,1.2427,1.38389,0.02047,0.03177,0.000853685,0.000853685,0.000853685
63,202.263,0.86916,0.60174,0.01729,0.04023,0.37548,0.31474,0.35638,0.27715,1.10463,1.39551,0.02066,0.02968,0.000844253,0.000844253,0.000844253
64,205.099,0.85615,0.61115,0.01788,0.03949,0.3354,0.30025,0.32593,0.22257,1.30113,1.60373,0.02142,0.03,0.000834822,0.000834822,0.000834822
65,208.034,0.86096,0.60851,0.01718,0.03737,0.32544,0.2774,0.30533,0.20024,1.41073,1.77036,0.02096,0.03434,0.00082539,0.00082539,0.00082539
66,210.869,0.84057,0.5804,0.01695,0.03816,0.36976,0.28671,0.33474,0.23985,1.28851,1.62281,0.02115,0.04514,0.000815959,0.000815959,0.000815959
67,213.705,0.83457,0.60749,0.01706,0.03363,0.35717,0.26929,0.32647,0.24031,1.20263,1.74495,0.02071,0.04192,0.000806528,0.000806528,0.000806528
68,216.594,0.82075,0.5723,0.01817,0.03206,0.37693,0.34909,0.36759,0.26433,1.21372,1.42727,0.0205,0.04256,0.000797096,0.000797096,0.000797096
69,219.513,0.81144,0.5496,0.01754,0.02595,0.49734,0.42572,0.43892,0.32417,1.15748,1.44096,0.02117,0.04268,0.000787665,0.000787665,0.000787665
70,222.674,0.78709,0.55051,0.01608,0.03048,0.37793,0.31622,0.37156,0.27635,1.2268,1.44377,0.02038,0.04759,0.000778233,0.000778233,0.000778233
71,225.514,0.82974,0.59278,0.01834,0.03244,0.38313,0.31892,0.36033,0.28005,1.16259,1.5033,0.02086,0.05473,0.000768802,0.000768802,0.000768802
72,228.298,0.78091,0.50174,0.01803,0.02702,0.38902,0.31867,0.35914,0.26374,1.23055,1.43263,0.02073,0.04933,0.000759371,0.000759371,0.000759371
73,231.105,0.83098,0.59079,0.01788,0.03105,0.35934,0.29337,0.3349,0.22434,1.35217,1.61883,0.02045,0.03517,0.000749939,0.000749939,0.000749939
74,234.021,0.84996,0.59925,0.01762,0.03621,0.34523,0.29377,0.3292,0.22452,1.30801,1.56584,0.02082,0.0375,0.000740508,0.000740508,0.000740508
75,236.907,0.81989,0.54164,0.01806,0.02916,0.30684,0.37136,0.35295,0.24763,1.27536,1.46188,0.02029,0.03975,0.000731076,0.000731076,0.000731076
76,239.717,0.80395,0.60528,0.01891,0.02809,0.37894,0.40056,0.36106,0.25536,1.24057,1.4845,0.02029,0.03837,0.000721645,0.000721645,0.000721645
