epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,96.9293,1.81428,2.85515,0.01651,0.16385,0.65721,0.18043,0.15026,0.06947,2.02449,2.25091,0.01657,0.15326,0.00998039,0.0033268,0.00998039,0.0033268,0.00998039,0.0033268,0.00998039,0.0033268
2,177.075,1.38733,1.55342,0.015,0.13454,0.32679,0.37894,0.30754,0.20703,1.3214,1.23857,0.01513,0.12733,0.0198485,0.00661617,0.0198485,0.00661617,0.0198485,0.00661617,0.0198485,0.00661617
3,248.921,1.32019,1.39492,0.01559,0.13168,0.16895,0.25643,0.14383,0.05996,1.9644,2.18822,0.0155,0.1278,0.0295847,0.00986155,0.0295847,0.00986155,0.0295847,0.00986155,0.0295847,0.00986155
4,317.232,1.2825,1.34288,0.01518,0.12781,0.34734,0.42718,0.33602,0.20265,1.47464,1.37323,0.01675,0.11565,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,388.466,1.24206,1.27684,0.01562,0.12106,0.27365,0.41891,0.26508,0.14448,1.58637,1.55721,0.01534,0.09855,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,451.304,1.20299,1.22045,0.01569,0.11078,0.3548,0.55675,0.38582,0.21341,1.47766,1.26798,0.01679,0.09805,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,514.26,1.20475,1.20784,0.01559,0.11494,0.22651,0.4224,0.20351,0.09522,1.70532,2.00302,0.01537,0.08745,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,577.154,1.18405,1.16625,0.01573,0.11337,0.31868,0.45464,0.31012,0.15966,1.66484,1.51533,0.01528,0.08506,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,641.26,1.16206,1.13586,0.01516,0.10676,0.29977,0.4814,0.30196,0.15783,1.68823,1.5211,0.0149,0.08369,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,705.246,1.16987,1.13982,0.01579,0.10884,0.28841,0.49348,0.31552,0.17946,1.53877,1.4944,0.01467,0.0839,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,767.44,1.1445,1.10493,0.01572,0.10372,0.39038,0.49796,0.39861,0.21479,1.48242,1.2923,0.0169,0.08638,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,828.976,1.1423,1.08458,0.01526,0.10309,0.27331,0.50501,0.28049,0.14593,1.61267,1.7333,0.01638,0.08722,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,890.952,1.12494,1.0739,0.01491,0.10057,0.29649,0.41195,0.27056,0.12384,1.7559,1.62864,0.01694,0.07825,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
